TargetVocabularyKanji,TargetVocabularyKana,TargetVocabulary,Correct01,Correct02,Correct03,Correct04,Correct05,Correct06,Correct07,Correct08
音楽,おんがく,music,music,Music,,,,,,
工作,こうさく,art,art,Art,,,,,,
理科,りか,science,science,Science,,,,,,
社会,しゃかい,history,history,History,,,,,,
算数,さんすう,math,math,Math,,,,,,
国語,こくご,Japanese,Japanese,japanese,,,,,,
体育,たいいく,P.E.,P.E.,p.e.,P.e. ,p.E.,PE,pe,Pe,pE
家庭,かてい,Cooking,Cooking,cooking,,,,,,
英語,えいご,English,English,english,,,,,,
