TargetVocabularyKanji,TargetVocabularyKana,TargetVocabulary,Correct01,Correct02,Correct03,Correct04,Correct05,Correct06,Correct07
嬉しい,うれしい,happy,happy,Happy,,,,,
悲しい,かなしい,sad,sad,Sad,,,,,
元気,げんき,fine,fine,Fine,,,,,
お腹が空いている,おなかがすいている,hungry,hungry,Hungry,,,,,
喉が乾いた,のがかわいた,thirsty,thirsty,Thirsty,,,,,
疲れた,つかれた,tired,tired,Tired,,,,,
眠い,ねむい,sleepy,sleepy,Sleepy,,,,,
怒っている,おこっている,angry,angry,Angry,,,,,
